gene	WT_0.5mM	WT_10mM	arp6_0.5mM	arp6_10mM	cluster_5_pearson	cluster_5_pearson_color
AT4G34190	-0.21505719198817758	0.009052731703243187	-0.21428825238960036	0.33529034186695594	2	#FFFFB3
AT3G47780	0.34184492968137414	-0.2471066672327023	0.23809267783843913	-0.5411930671809502	3	#BEBADA
AT3G50350	-0.08098263950947204	-0.6677639516360702	0.5943119642292094	-0.1415992594239869	1	#8DD3C7
AT4G09010	-0.20715672374461347	0.057514511921040144	-0.20716686956657127	0.28723273989723624	4	#FB8072
AT5G63850	0.1482446134107207	-0.35418895577859855	0.3813232283181255	-0.3280224757211298	3	#BEBADA
AT3G62040	0.40566101386930614	-0.32051776356951256	0.21105302486608893	-0.4928735937550783	3	#BEBADA
AT4G34950	-0.28806187595679283	0.3014970545448388	-0.3927066406866977	0.21120593788684422	4	#FB8072
AT1G07320	-0.17282956255485935	0.07445006630962028	-0.1739771036107746	0.2277671725281375	4	#FB8072
AT5G33355	-2.4874207950733216	-1.5942275327229913	-0.20200307907552056	1.256733682509439	2	#FFFFB3
AT3G25760	-0.0898805666669449	-0.15543468459818852	-0.40268554035585924	0.4163258090118676	2	#FFFFB3
AT1G30380	-0.2469199254031359	0.03570486664229221	-0.13985048018809998	0.28679840042694416	2	#FFFFB3
AT3G47470	-0.15707231276585168	-0.016079744035734422	-0.16161693349208786	0.27637540334017163	2	#FFFFB3
AT4G04640	-0.21997251323166125	0.034768158017702624	-0.13481382146499715	0.26500010972599297	2	#FFFFB3
AT5G40950	-0.26049022716914605	-0.03667074110400216	-0.12162216117225977	0.3389619306224644	2	#FFFFB3
AT1G51500	-0.09021601160587639	-0.05281518193434281	-0.2205451955922559	0.30444587168985593	2	#FFFFB3
AT5G65010	-0.09276576376607176	0.14581249295044005	-0.28239499510705784	0.17093250374694507	4	#FB8072
AT1G10960	-0.16183873802573673	0.029376046617754493	-0.11912107349436206	0.20259011247924966	2	#FFFFB3
AT2G46740	0.37139611440316617	-0.19704247318672458	0.2904005476145618	-0.7706117155965609	3	#BEBADA
AT5G06640	-0.06977224387476985	-1.0229365789512146	0.7703493691367924	-0.2945056768736185	1	#8DD3C7
AT3G12930	-0.19955625043930417	0.01395512312582579	-0.2824161628156697	0.36223640099739446	2	#FFFFB3
AT1G68590	-0.16699430404666935	0.03177552142539233	-0.19274947056920352	0.26844028675481574	2	#FFFFB3
AT1G50900	-0.16286826727307357	0.11284733970414278	-0.2667743875415192	0.24690928974044207	4	#FB8072
AT3G62410	-0.5069626864473565	0.05174228998865421	-0.1488714511525091	0.42204418718612535	2	#FFFFB3
AT5G11420	-0.5171836268049147	-0.08812092217719915	-0.1078020189086892	0.5014350912237437	2	#FFFFB3
AT1G13650	-1.2271078963716033	-0.9404013230171698	-0.03254637823555714	1.0216339588687613	2	#FFFFB3
AT1G55480	-0.21236654098311605	0.03462396930617082	-0.18812213595763685	0.3002656987181011	2	#FFFFB3
ATCG00280	0.13295043404755666	0.1531595612338552	0.2783579562395884	-1.0747961737943115	5	#80B1D3
AT2G21045	-0.05656717074216291	-0.5764873913314483	0.4809331873999762	-0.04368513510399125	1	#8DD3C7
AT4G12555	-0.5916466467738808	0.6658962343243001	-1.4467893202987185	0.20198959296394117	4	#FB8072
AT5G50200	0.07935430006291493	-0.471857011650048	0.36424942748018324	-0.1068611214894762	1	#8DD3C7
AT3G63540	-0.3225829205039098	-0.0015144276952949929	-0.1312740740844041	0.35455095145376103	2	#FFFFB3
AT1G63530	0.30714751784476757	-0.8437044950569089	0.5697888183357831	-0.8457832121471844	3	#BEBADA
AT5G28500	-0.14694944983001954	0.10560062049732215	-0.18798370444156412	0.19204012044258337	4	#FB8072
AT1G52820	0.10119573438214806	-0.9239442347320908	0.6910548359876106	-0.7041070960693064	3	#BEBADA
AT2G39010	-0.2987560549913343	-0.06628324474086753	-0.09237887315630271	0.36150005548307035	2	#FFFFB3
AT3G24430	-0.10249783768545354	0.10921692877135428	-0.2768175796847039	0.21401107998169863	4	#FB8072
AT2G37660	-0.2094279475587295	0.06985305776302583	-0.1548661320315894	0.2441639648176941	2	#FFFFB3
AT3G48730	-0.2660252002918451	-0.02412983759228366	-0.09695554823225118	0.31598863065680416	2	#FFFFB3
AT3G32030	-0.6814138329894037	-1.4348918555325163	0.9827572962966208	0.006610082438936053	1	#8DD3C7
AT3G13610	-0.11404443234759634	-0.5435549812407168	0.5179181710637283	-0.08433692271327195	1	#8DD3C7
AT2G33450	-0.1654253240949904	0.04828915049489073	-0.1708613368934977	0.2366263823635809	4	#FB8072
AT1G32450	0.12203936337299748	-0.3334132715764467	0.29901858296393447	-0.18982611523655502	3	#BEBADA
AT1G55670	-0.20448781677957178	0.10813001039162036	-0.231341991999331	0.25711003983598657	4	#FB8072
AT4G15610	0.14221438301907685	0.03769624151576847	0.1589772824167854	-0.4405475393506511	5	#80B1D3
AT5G54600	-0.10408421881075017	0.03636296165111832	-0.15925894145479874	0.19630320767340467	2	#FFFFB3
AT3G47730	0.19069187329816606	-0.11200169920821824	0.19146707981570266	-0.35043274373897965	3	#BEBADA
AT5G01530	-0.24047735426062536	0.06683714852248686	-0.15248805688836456	0.2669762337155457	2	#FFFFB3
AT4G01150	-0.23695697660096215	0.008841099064901652	-0.13496338139682532	0.29539859967297327	2	#FFFFB3
AT1G60950	-0.2051543792981966	0.16717371830074138	-0.2573291969438763	0.21888149535826984	4	#FB8072
AT5G65220	-0.1326095180126835	0.09375441710363823	-0.18833477074474986	0.1873414223174967	4	#FB8072
AT4G23700	0.4610724194871446	-0.530030041756259	0.38341075982200884	-1.0513213635409704	3	#BEBADA
AT3G56910	-0.10948506659924537	0.13784495730105262	-0.26175869011786085	0.17717859735273045	4	#FB8072
AT3G22370	0.03649784672003299	-0.18607025815113834	0.2882441137960993	-0.26839533827793655	3	#BEBADA
AT2G10940	-0.0151814248473107	0.45513675604870435	-0.6065541214247613	-0.0897935900732821	5	#80B1D3
AT3G26740	0.031126878704752003	0.12925660617828225	-0.31178161927271336	0.08041105143689624	6	#FDB462
AT1G21600	-0.05829466988021315	0.026810481627567346	-0.224421143530688	0.21388382389234464	2	#FFFFB3
AT2G38380	-0.2035228898513175	0.4497465371543264	-0.5724568927433251	0.06150976648881225	4	#FB8072
AT3G54050	-0.19159353707102064	0.10825659417262445	-0.1808463854392292	0.21154126375499882	4	#FB8072
AT3G62680	-0.4514682316083515	-0.8648298439367781	0.7900747279651568	-0.04220649896925832	1	#8DD3C7
AT5G54040	0.1352201355301335	-0.6044890821760894	0.4900305192248269	-0.25750755822091237	1	#8DD3C7
AT4G27440	-0.120532456292803	0.028487068542665885	-0.20457816337849524	0.2367273632918483	2	#FFFFB3
AT1G26250	1.0005036294472223	0.4922798627964995	-1.4614151135234275	-2.524009857405861	5	#80B1D3
AT1G31330	-0.1563796795534507	0.08807417989644618	-0.17895086907548938	0.20282115860831648	4	#FB8072
AT1G79040	-0.22556065402282804	0.007591930099477105	-0.11831026493284479	0.2797888308439572	2	#FFFFB3
