gene	arp6_0.5mM_1	arp6_0.5mM_2	arp6_0.5mM_3	WT_10mM_1	WT_10mM_2	WT_10mM_3	arp6_10mM_1	arp6_10mM_2	arp6_10mM_3	WT_0.5mM_1	WT_0.5mM_2	WT_0.5mM_3	cluster_6_pearson	cluster_6_pearson_color
AT3G26410	-0.9084443056036413	-0.8034307524712827	-1.0347434713042936	0.5737900147780779	0.8848777092315934	0.9423441927149855	-1.0276316715328706	-0.7884220261589554	-1.0324717451313254	0.8981380057113515	1.5169126897350957	0.7790813600312639	6	#FDB462
AT3G26430	-1.5390810475139276	-0.15324597087797023	0.36072891147588904	0.40661862116530695	1.4945408073040176	1.1725762092322798	-1.3760348016476924	-0.27481695459540373	-1.4170345085388047	0.3911124932185865	0.20562211938967392	0.7290141213880487	3	#BEBADA
AT3G26445	-0.9439436466613256	-0.948726460249424	-0.9821036653298107	0.7244455516508903	0.8909381068656677	0.9333585775465838	-0.9340919025568717	-0.9374450498592003	-0.9281381639121675	0.7504248399949489	1.3575231362008877	1.0177586763098212	6	#FDB462
AT3G26480	-0.1499161315136437	0.7158373577814151	1.7438764657664818	-0.954257849962292	-0.4565973661929985	-1.4955142849539222	0.4508409588043771	1.6571447811824278	0.18077231611985017	-0.6966218597218568	-0.2681918399390667	-0.7273725473707726	2	#FFFFB3
AT3G26612	-0.9981970002208586	-0.9742931971282459	-0.8922923527135779	0.8069672727032613	0.7123496119707665	0.8123354381466401	-0.9758777773648977	-1.0014322846030297	-0.8325136242955182	1.3067133615367286	1.091340032585633	0.9449005193830983	6	#FDB462
AT3G26614	-0.8203110431742295	-0.8203110431742295	-0.8203110431742295	-0.13479358479648426	-0.008788978013263936	0.8124726132822009	-0.8203110431742295	-0.8203110431742295	-0.8203110431742295	1.3788668346879631	1.7924800352077133	1.0816293386772493	6	#FDB462
AT3G26750	-0.20553372267693806	-0.43292062283440746	-2.019756291704105	0.67218225035887	0.8739311052560268	0.328862970859779	-0.9135736594083147	-0.9309449648792159	-0.44089187106437855	0.5984487649846658	1.4118019698884983	1.0583940712195192	6	#FDB462
AT3G26922	-0.6778255709311616	-0.9249531058946135	-1.2130289887935757	0.29463025559824824	0.9482827202939178	0.7561313967253694	-0.9885701578819992	-0.9239453900525338	-0.7666643879639445	0.8839873012072845	1.455112748472777	1.1568431792202305	6	#FDB462
AT3G27150	-0.5875533452195032	0.1368679432451313	0.1706105438937346	-0.39749357194459956	0.6234336632304779	1.5529830861524767	-1.1467661339147073	-0.9709229138337334	-1.3552823099193239	-0.013467965601282801	1.8821982094285175	0.10539279448281572	6	#FDB462
AT3G27340	-1.1316071935598668	-0.9229726656573431	-0.8956499430605643	0.8764098877049147	0.49803767865045956	0.8343702632477875	-0.7061608772744985	-1.0864952520239513	-0.8687496568376512	1.1379495491440523	0.9599754472974016	1.3048927623692583	6	#FDB462
AT3G27400	-1.3177540014453593	-1.2009835817760226	-0.09815395900014147	-0.20830242175804878	1.390463160607163	1.0803781546505198	-0.9295519534841495	-0.9303124220910497	-0.5427488283729107	0.6911787802064385	0.9065142991315581	1.1592727733319996	6	#FDB462
AT3G27420	-0.8069611057670684	-0.9823817803617038	-0.8980427756221784	1.1003931874214519	1.0353919806855745	1.0151848532953338	-0.9061864029979583	-1.2057303744112489	-0.8986362851212997	0.7704062033432585	0.8188644060900265	0.9576980934458118	6	#FDB462
AT3G27473	-0.8347340309713754	-0.9639102777018073	-0.12521191027469092	0.5110345153317667	1.054674399555023	0.8867763834138318	-1.1857039276699797	-1.1857039276699797	-1.0845061290814417	0.8994045918185046	0.5982886932151537	1.4295916200349943	6	#FDB462
AT3G27480	0.9131053006096477	-0.3283058036262377	1.7104297669106496	0.33545141167630677	1.1186153789769284	-0.4430926677086283	-1.8095757334058304	-0.8245741639184319	-1.2191390644338538	0.07125216641094843	0.15529600101631857	0.32053740749218174	3	#BEBADA
